Year,Event,Player,Team,Value
2024,Complete Games,Kevin Gausman,Toronto,2
2024,ERA,Tarik Skubal,Detroit,2.39
2024,Games,T.J. McFarland,Oakland,79
2024,Saves,Emmanuel Clase,Cleveland,47
2024,Shutouts,Ronel Blanco,Houston,1
2024,Shutouts,Joey Estes,Oakland,1
2024,Shutouts,Kevin Gausman,Toronto,1
2024,Shutouts,Tanner Houck,Boston,1
2024,Shutouts,Keider Montero,Detroit,1
2024,Strikeouts,Tarik Skubal,Detroit,228
2024,Winning Percentage,Tarik Skubal,Detroit,.818
2024,Wins,Tarik Skubal,Detroit,18
